性別,年齢,職業,予約,施術,口コミ,店名
女性,10代後半,学生,学割U24【平日限定】カット+カラー　\15900→\5000 カット、カラー,カット、カラー,店内は広くはありませんが、お洒落で雰囲気も良かったです。担当スタイリストさんは、自分の中での完成形もあまり決まっておらず、難しいオーダーをする私に嫌な顔ひとつせず、時間をかけて丁寧にカウンセリングしてくださいました。散々悩んだあげく、「オススメで」と全振りする私に、ピッタリの色を提案して頂いて、抜群の技術で満足のいく仕上がりにして頂きました。 リンスもサービスして頂いてツヤがある仕上がりになって気分もあがりました。皆さん明るく、仲の良さそうな雰囲気で会話も弾み、退屈しませんでした。まだ出来たばかりのお店という事でしたが、初回の料金が5000円で破格でした。 カットと2色カラーでこのクオリティでこの価格は、美容室に来て本当に5000円の支払いで良いのだろうかと不安になるくらいでした。笑総合的な満足度も大変満足です。また通わせて頂きます。,A店
女性,40代,会社員,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,髪質やはえ癖を考慮したうえで、こちらの希望するスタイルにしていただきました。説明も分かりやすくして下さり感謝しております。今までしてきたボブの中で1番満足度が高いです。ありがとうございました。またお伺いさせて頂きます。,A店
女性,20代前半,会社員,カット+カラー　\15500→\11000     TAKUYA・KAZUKI  利用不可 カット、カラー,,とにかく明るくしたい！といったぼんやりしたイメージで丸投げしてしまったのですが、ばっちり私に合う色を提案して頂けました！説明も丁寧で助かりました。お話も楽しく、雰囲気もすごくよかったです！,A店
男性,30代前半,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,満足でした,A店
女性,20代後半,,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,仕事終わりに行きましたがリフレッシュできました。ありがとうございました。,A店
女性,50代,会社員,カット+イノアカラー　\19500→\15000 カット、カラー、トリートメント,カット、カラー、トリートメント,2度目の利用。前回同様カラーはこちらの曖昧な希望に対し、たくさん検討して頂いた結果、ブリーチはせずともすごくかっこいい仕上がりに。カットの技術はもちろんですが今回も大満足です。ミニ扇風機のご配慮もありがたかったです。,A店
女性,20代前半,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,理想の形と色にしてもらいました！ぜひまた行きたいです。,A店
女性,20代前半,会社員,【平日限定】イルミナカラー+カット+ロイヤルTr\17200→\8080 カット、カラー、トリートメント,カット、カラー、トリートメント,施術前に丁寧にイメージを確認してくださったので、安心してお任せできました。カラーは決めきれずに来店したのですが、保存していた写真を見て提案してくださって、とってもいい色に仕上げていただきました。カットも前髪や触覚も顔の特徴に合わせてくださいました。スタイリングのコツなども教えてくださったので、とてもためになりました。店員さん同士仲良いのが伝わってきて、お店の雰囲気もとてもよかったです。施術中、店員さんのお話もおもしろく、とっても楽しませていただきました！ありがとうございました♪,A店
女性,20代前半,会社員,カット　\5800 カット,カット,美容院の雰囲気がとても落ち着いていて、リラックスできました。カットの技術も高く、担当のスタイリストさんが要望をしっかり聞いてくれました。希望通りのスタイルに仕上げていただき、とても満足しています。次回も是非利用したいと思います！,A店
男性,20代後半,自営業,【圧倒的似合わせ】メンズカット　\7100→\4650 カット,カット,突然の,A店
女性,30代前半,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,とても満足な仕上がりになりました。おまかせで嫌な顔せずご対応してくださりありがとうございます。お店の雰囲気も明るく、ご対応は柔らかく、髪の毛は勿論ですが、気持ちが元気になりました!,A店
女性,20代後半,会社員,カット　\5800 カット,カット,二回目の利用です。今回はカットをしていただきましたが、理想以上の仕上がりでした！かなり思い切って短くしましたが普段のセット方法を教えてくださったので、特に困ることなく過ごせています。また伺います！,A店
男性,30代前半,会社員,【圧倒的似合わせ】メンズカット　\7100→\4650 カット,カット,東京に遊びに来た際に、来店しました。雰囲気もよく、担当スタイリストさんの楽しいトークであっという間でした！！また東京に行く時は、お願いします！！,A店
女性,30代後半,会社員,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,カット＋トリートメントで初めて伺いました。カット前のカウセリングも丁寧で、カットの方向性など自分だと何が良いのかよく分からないので、ご提案いただけたのは大変助かりました。仕上がりも夏らしく、スッキリとして満足しています。スタッフさんも店内の雰囲気も良く、また行きたいなと思いましたが、感染対策がされていなかったため、そこだけ今の時期少し気になりました。,A店
女性,30代前半,会社員,【平日限定】イルミナカラー+カット+ロイヤルTr\17200→\8080 カット、カラー、トリートメント,カット、カラー、トリートメント,ブリーチでダメージが酷く根本と毛先で色が全然違うなか、カラーについてたくさん相談できてよかったです！漫画が好きなので漫画トークで盛り上がってあっという間でした！,A店
女性,10代後半,学生,カット　\5800 カット,カット,初めての美容室で尚且つ男性に髪を触られるのも初めてだったので緊張していました……！！でもお店の雰囲気も良く店員さんが皆さんとてもイケメンでした！！コンタクトつけるのを忘れていたので次回はご尊顔をもっと見たいと思います！担当スタイリストさんはアシスタントさんにも優しく物言いをしていて素敵だと思いました……！！次回もお願いしたいです！彼氏にも可愛いと言っていただけて幸せでした！！初めてがこのお店で良かったです！ありがとうございました！,A店
女性,30代前半,自営業,【今話題、圧倒的な透明感】　イルミナカラー\9100 カラー、トリートメント,カラー、トリートメント,どのカラーにするか、どんなトーンにするかなど、すごく親身に相談に乗っていただきました。ありがとうございました。,A店
女性,20代前半,会社員,カット+カラー+ロイヤルTr\15900→\7980 カット、カラー、トリートメント,カット、カラー、トリートメント,接客がすごく感じが良くて、楽しかったです。仕上がりも気に入ってます。ありがとうございました。,A店
女性,30代前半,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,お話しも上手でデザインも希望通りにしていただきました。またお伺いします！,A店
男性,20代後半,,【圧倒的似合わせ】メンズカット　\7100→\4650 カット,カット,丁寧にカウンセリングをしていただき、イメージ通りの仕上がりになりました。施術も全体的に丁寧で、またお願いしたいと思える美容室でした。ありがとうございました。,A店
男性,30代後半,会社員,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,店舗の場所は岩本町のすぐ近くでアクセスは良い。また、大通りから少し離れているので、オジサンでも入りやすい点は助かった。入店時は挨拶に勢いがあり、非常に雰囲気は良いと思う。ただ、省スペース化の都合で機材の移動が多い点は少々慌ただしい印象を受けた。私自身が普段から安い店に行きがちなので、それと比べるのも申し訳ないが、接客サービス、技術仕上がりは格段に良いと感じる。料金面は今回が初回クーポンで格安だったので満足ではある。ただ、普段から利用するには金額が大きいので、綺麗にカットしてもらいたい時にはまた利用したいと思う。,A店
男性,10代後半,学生,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,イメージが定まっていなかったのですが、話をしながら切っていただきました。セット法も教えていただけてありがたかったです。ヘッドマッサージも気持ちよかったです。また利用したいです。,A店
女性,20代前半,,イルミナカラー＋Tr　\9500→\6500 カラー、トリートメント,カラー、トリートメント,施術自体は、綺麗な色を入れていただいて満足です。ですが、トリートメント終わりにマッサージしていただいた時にクロスを取られてからされたため、カラー終わりの濡れた髪が私服に掛かり白シャツが汚れました。その時はアレ?と思って自分でさりげなくどかしましたが、家に帰ってから確認すると案の定汚れていたので、残念です、。,A店
女性,30代前半,会社員,カット+カラー+ロイヤルTr\15900→\7980 カット、カラー、トリートメント,カット、カラー、トリートメント,髪色の相談にとても丁寧にのっていただき、お気に入りの色に綺麗に染まって満足しています。お話も面白くあっという間に感じました。カットもスタイリングが楽になるようにカットしてくれ、スタイリング方法まで教えていただいたのでとてもお得な気分になりました。もう少しオリーブ色になるのも見てみたいので、次もここで髪の毛を染めてもらおうと思います。ありがとうございました。,A店
男性,40代,,【圧倒的似合わせ】メンズカット　\7100→\4650 カット,カット,初めて伺いましたが、カウンセリングからしっかりしていて、とても分かりやすかったです。髪型の仕上がりも満足でとても感動しました。,A店
女性,20代後半,会社員,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,丁寧なカウンセリングで希望通りの髪型に仕上げていただきました。 また次回もお願いしたいと思います。,A店
女性,20代後半,会社員,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,初めてとは思えないほど緊張することなく、終始素晴らしい接客をしていただきました！少しご要望をお伝えしただけで似合うスタイルをご説明いただき、安心してお任せしました。予定通りの時間ピッタリで終わったのもびっくりです…！カットをお任せできるサロンを探していたので、職場からのアクセスも良いこちらのサロンにこれからお任せしたいと思っております♪またよろしくお願い致します！,A店
男性,20代後半,会社員,カット　\5800 カット,カット,2回目でした！前回と少し違う感じに切ってもらったけど、夏らしくさっぱりしつつ、バランスよく切ってくれて満足しました,A店
女性,20代後半,会社員,カット　\5800 カット,カット,他の美容院で切ったところ、あまり納得のいかない仕上がりにされたので切り直しをお願いしました。スタイリストさんが親身にお話しを聞いてくださりさらに似合うヘアスタイルを提案してくださったり、仕上がりのイメージを先に写真で見せてくださったりお心遣いが嬉しかったです。仕上がりも大満足です。自宅でできるスタイリング方法も教えてくださりました。今後もお願いしたいと思います。,A店
男性,20代後半,会社員,カット+パーマ　\15700→\11000　　 TAKUYA・KAZUKI  利用不可 カット、パーマ,TAKUYA・KAZUKI,2回目でカットとパーマで,A店
女性,30代前半,,クーポン利用なし カット,カット,初めての来店で子供の前髪カットだけにも関わらず丁寧かつ快く対応してくださりありがとうございました！とても良い雰囲気でした。お気遣いも嬉しかったです。娘も満足してました。また機会がありましたらよろしくお願い致します。,A店
男性,40代,,カット+カラー+ロイヤルTr\15900→\7980 カット、カラー、トリートメント,カット、カラー、トリートメント,綺麗な空間でした。漫画はたくさんおいてありました。この度はお世話になりまして、ありがとうございました。,A店
男性,20代前半,会社員,【圧倒的似合わせ】メンズカット　\7100→\4650 カット,カット,初めて行きましたが、お店もおしゃれで良かったです。希望通りの髪型にしていただき満足です。,A店
女性,30代後半,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,秋葉原に行く予定があり、急遽,A店
女性,20代後半,会社員,【平日限定】イルミナカラー+カット+ロイヤルTr\17200→\8080 カット、カラー、トリートメント,カット、カラー、トリートメント,いくつか漫画が置いてあり、待っている間も楽しく過ごすことが出来ました。ヘアスタイルを決めずにおまかせ状態でしたが髪の状態や普段の髪型に合わせ、色や前髪など分かりやすく提案して頂けてありがたかったです。個人的に、シャンプーが丁寧で力加減も丁度良くとても良かったと感じました。,A店
女性,20代後半,会社員,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,前日深夜に急遽な,A店
男性,20代後半,その他,クーポン利用なし カット,カット,前髪カットを依頼したらとんでもない切り方を間髪入れずにされ、とんでもないことになりました。これ以上いじらせるわけにはいかないので、すぐ退店し他店に直してもらいました。普通にありえないと思います。,A店
女性,40代,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,とても雰囲気のいいお店でした。前髪を短くしていただいたんですが、丁寧に切っていただいてとても満足です！久々にグラデーションでカラーもお願いしました。ポイントでブリーチしていた部分のピンクは、すぐ落ちてしまいましたが、次回は違う色でお願いしようと思います。,A店
女性,30代後半,パート・アルバイト,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,後れ毛の説明が上手くできなかったのに、綺麗に仕上げてくださいました。秋葉原にこんな素敵なお店があるとは思いませんでした(笑)タイミングが合えばまた利用したいと思います、ありがとうございます。,A店
女性,20代後半,,【平日限定】イルミナカラー+カット+ロイヤルTr\17200→\8080 カット、カラー、トリートメント,カット、カラー、トリートメント,お店もスタッフの方々の雰囲気もとてもよかったです。カラーも希望通りのきれいな色にしていただきました。ぜひまた伺いたいです。,A店
女性,20代後半,会社員,【平日限定】イルミナカラー+カット+ロイヤルTr\17200→\8080 カット、カラー、トリートメント,カット、カラー、トリートメント,口コミの評判が良かったので,A店
女性,20代後半,会社員,イルミナカラー＋Tr　\9500→\6500 カラー、トリートメント,カラー、トリートメント,雰囲気、人柄本当に気持ちがよい美容院でした。髪色も落ちやすいと伝えたところ、透明感がある暗めの色を入れてくださりまだ色落ちしてません…！！！また是非伺いたいなと思います。ありがとうございました！,A店
男性,20代後半,会社員,【圧倒的似合わせ】メンズカット　\7100→\4650 カット,カット,最初から最後までとても丁寧に対応していただき、仕上がりにも大変満足しています。また、シャンプーやブローはそれぞれ別のスタッフに担当いただきましたが、どちらの方にもとても丁寧に対応いただき、どのスタッフさんも意識・技術ともに素晴らしいなと感じました。ただ、施術後に顔や肩の後ろなどに切った髪の毛が付いたままだったので、濡れタオルなどを頂けると尚良かったです。接客・技術は本当に素晴らしかったです。,A店
女性,30代前半,会社員,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,とても手早く綺麗に仕上げていただきました。くせ毛で広がりやすいのでなるべくまとまるようにと要望を伝えましたが切ってから1週間経ってもまとまっているのが嬉しかったです。お店も明るく入りやすい雰囲気でした。,A店
女性,50代,その他,カット+カラー+ロイヤルTr\15900→\7980 カット、カラー、トリートメント,カット、カラー、トリートメント,とても丁寧に施術して頂きました!,A店
女性,40代,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,白髪が気になっていたのですが、おすすめされたカラーリングがとても綺麗でした。スタッフの皆さんの雰囲気が良かったです。新しいお店のようで、清潔感がありました。,A店
女性,未設定,,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,雰囲気も良き､すごく丁寧､気楽な感じでカット以外にも大満足でした！何よりも自分の髪の毛を理解してそこに合わせた説明までしていただいたのでとてもわかりやすかったです！goooood !,A店
女性,20代前半,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,似合う髪型や前髪の形などを提案していただき、色とっても可愛くしていただけて満足です！会話も楽しくできて嬉しかったです！これから通います！ありがとうございました！,A店
男性,50代,会社員,カット　\5800 カット,カット,前のお店の時からずっとお世話になってます。白と黒のコントラストが印象的で一見スタイリッシュな雰囲気ですが、スタッフは皆さんフレンドリーで家庭的なお店です。技術的に確りされていることは勿論、サービスもきめ細かく、今回も私がドライヤー時に最後は冷風でお願いしますと言ったらスムーズに対応して頂きました。今後共利用したいと思います。,A店
女性,40代,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,丁寧なカウンセリングでした。趣味の話とかも出来てあっという間に時間が過ぎてしまいました。,A店
女性,20代後半,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,初めての利用になります。まずは駅からのアクセスが本当に良くて、遅い時間にもかかわらずカットカラー、トリートメントまでしていただけました！担当の方もアシスタントの方もとっても気さくで終始リラックスできました。ブリーチで痛み、広がってしまう悩みを伝えると、ヘアアイロンを使用していなくてもまとまる感じにカットしていただけ、またトリートメントで手触りが本当に良くなり大満足でした！色も周りの方からすごく好評でした！またお世話になりたいと思います！ありがとうございました！,A店
女性,20代後半,会社員,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,当日急遽,A店
女性,10代後半,学生,学割U24【平日限定】カット+カラー　\15900→\5000 カット、カラー,カット、カラー,口コミ評価の高さに惹かれて来店しましたが、まさにその通りでした。カウンセリングがとても丁寧で、愉快な優しい美容師さんばかりでした。人生の中で1番かわいくしていただけたので、お任せして間違いないと思います!,A店
女性,30代前半,会社員,カット+イルミナカラー+ケラスターゼTr　\16500 カット、カラー、トリートメント、ヘッドスパ,カット、カラー、トリートメント、ヘッドスパ,前のお店の時からずっとお世話になっています。曖昧なお願いにも丁寧に汲み取って理想以上の仕上がりにしてくださいますのでとても信頼しています。いつもありがとうございます。,A店
男性,20代後半,会社員,【圧倒的似合わせ】メンズカット　\7100→\4650 カット,カット,とても接しやすい雰囲気で、髪のセットも丁寧に教えてくれます。秋葉原のおすすめできるサロンです！,A店
女性,30代後半,パート・アルバイト,【代表　森・村田限定】カット＋カラー　\15500→\13000 カット、カラー,カット、カラー,いつもお世話になっております。ざっくりお任せで毎回頼んでいるのですが、カラーもカットも良い感じに雰囲気に落とし込んでくれまとめてくれます。いつも有難うございます。またよろしくお願いします。,A店
